coffee_id,name,roaster,farmer,process,elevation,country_name,country_region,notes,varietals
127,Halu Beriti,Bespoken,,Washed,2200,Ethiopia,Africa,"apricot,juicy,jasmine",Heirlooms
128,Café Del Sol,Bird Rock,,Washed,1600,Kenya,Africa,"clementine,blackberry,dark honey","Bourbon,Heirlooms,Caturra"
129,Reko,Bird Rock,,Washed,2050,Ethiopia,Africa,"apricot jam,lemon drop candy,jasmine",Heirlooms
130,Love Berries,Black Sheep,,Natural,0,Ethiopia,Africa,apple,Arabica
131,Robusta Revival,Black Sheep,,Pulp Natural,0,India,Asia,"dark chocolate,silky,hazelnut,smooth",Robusta
132,Abera Ararso,Blanchard's Coffee Roasting Co.,,Washed,1750,Ethiopia,Africa,"nectarine,wildflower honey,meyer lemon","Dega,Kurume,Wolicho"
133,Blanchard's Guatemala,Blanchard's Coffee Roasting Co.,Ruth Maria de Los Angeles Martinez,Washed,2000,Guatemala,Americas,"cola,poached pear,orange blossom",Orange Bourbon
134,La Esperanza,Blue Bottle,,Washed,0,Guatemala,Americas,"candied kumquat,hazelnut,swiss chocolate",Caturra
135,Rwanda Nyanza Iwacu,Blue Bottle,Iwacu Washing Station,Washed,1650,Rwanda,Africa,"lemongrass,candied mango,praline",Bourbon
136,Sr. Edgardo Reyes,Bluebeard,Sr. Edgardo Reyes,Washed,1761,Honduras,Americas,"chocolate,milk,apple,grape jelly,honeycomb",Pacas
137,Yukro,Bluebeard,Cooperative Kata Muduga,Washed,2000,Ethiopia,Africa,"butterscotch,lemon,white grape,mandarin orange","Arabica,Heirlooms"
138,Kimel River,Bluebeard,Kimel River Estate,Washed,1500,Papua New Guinea,Oceania,"cocoa,nectarine,white grape,lemon blossom",Peaberry
139,Ejo Heza,Blueprint Coffee,4th Harvest,Washed,1750,Rwanda,Africa,,"Jackson,Bourbon"
140,Decaf Caldas E.A.,Blueprint Coffee,1st Harvest,EA Decaf,1500,Colombia,Americas,,"Colombia,Caturra,Castillo"
141,Dur Feres,Boon Boona,Multiple,Natural,1800,Ethiopia,Africa,cacao nibs,"Kurume,Setami,Mikicho"
142,Decaf Sidamo,Boon Boona,Multiple,Swiss Water Decaf,1850,Ethiopia,Africa,"citrus,nougat",Heirlooms
143,Bourbon de Chiapas,Borola,,Washed,1200,Mexico,Americas,"cedar,nuts,floral,orange",Bourbon
144,Enmielado de Guerrero,Borola,,Honey,0,Mexico,Americas,"mango,pineapple,light chocolate finish",Arabica
145,Pacamara de Chiapas,Borola,,Washed,0,Mexico,Americas,"vanilla,toasted caramel,nuts,spice",Pacamara
146,Pluma de Oaxaca,Borola,,Washed,1300,Mexico,Americas,"vanilla,chocolate,light body,dry finish,balance,caramel,oak",Typica Pluma
147,Tupac Amaru,Bows x Arrows,,Washed,0,Peru,Americas,"butterscotch,macadamia nut,chocolate mousse","Typica,Caturra,Bourbon"
148,Costa Rica,Brewed Awakenings,,Washed,0,Costa Rica,Americas,,Arabica
149,Colombia Duarte Bajo,Broadcast,Duarte Bajo,Washed,0,Colombia,Americas,"fruity,bright",
150,Colombia San Francisco,Broadcast,San Francisco,Washed,0,Colombia,Americas,lovely,
151,Colombia Tosoabi,Broadcast,Tosoabi,Washed,0,Colombia,Americas,"orange,chocolate",
152,Ethiopia Hambela,Broadcast,Hambela,Washed,2100,Ethiopia,Africa,"lemon,raspberry",Heirlooms
153,Finca Un Regalo de Dios,Broadcast,,Washed,0,Nicaragua,Americas,"dried fruit,toffee",Pacamara
154,Guatemala,Broadcast,,Washed,0,Guatemala,Americas,"lemonade,fig,apple","Catuai,Caturra"
155,Guatemala La Folie,Broadcast,La Folie,Washed,0,Guatemala,Americas,"orange,pear",
156,Honduras San Vicente,Broadcast,,Washed,1575,Honduras,Americas,"pear,raspberry,papaya","Catuai,Lempira,Pacas"
157,Kenya Karatu PB,Broadcast,Karatu PB,Washed,0,Kenya,Africa,"blood orange,raspberry",
158,Myanmar Horse Well,Broadcast,Horse Well,Washed,0,Myanmar,Asia,"orange,cognac",
159,Wottona Bultuma,Broadcast,,Washed,0,Ethiopia,Africa,"bergamot,peach,honey",Heirlooms
160,Raro Boda Natural,Broadsheet,Neguesse Debela,Natural,2100,Ethiopia,Africa,"toffee,blueberry,cherry","Heirlooms,Jarc Selections"
161,Terra Sana Blend,Caffe Umbria,,Washed,0,Blend,Blend,,
